text,ai_category,label,ai_reason,extracted_salary,extracted_pos"📢📢THÔNG BÁO TUYỂN  NỮ LỚN TUỔI LÀM TẠI KHO ĐÀ NẴNG
"ÚT MILKTEA - 424 Trần Đại Nghĩa
🧐 [GÓC TUYỂN DỤNG ]
☘ÚT MILKTEA - Địa chỉ 424 Trần Đại Nghĩa - Ngũ Hành Sơn - Đà Nẵng cần tìm 2 bạn Nữ đồng hành : 
- Ca làm việc  :  17h -> hết khách
👉Có xoay ca cho sv👈
- Lương: 16k-20k / 1h + thưởng
- Yêu cầu: vui vẻ, năng động, thật thà.
- Được đào tạo thêm về các loại bánh tráng (bánh tráng trộn, bánh tráng cuộn bơ..), trà sữa...
🧐 LIÊN HỆ  THEO THÔNG TIN BÊN DƯỚI ĐỂ BIẾT RÕ THÊM VỀ CÔNG VIỆC : 
424 Trần Đại Nghĩa- Hòa Hải- Ngũ Hành Sơn- Đà Nẵng
FB.Zalo HOTLINE:
- 0934865817 - Mrs. Phương.
- 0834971993 - Mr. Toàn.",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường + Quận + Thành phố), công việc rõ ràng, mức lương hợp lý","16k-2,0k / 1h","Đồng hành (phục vụ, bán hàng)"
"💥HIGHLANDS COFFEE LOTTE MART 06 NẠI NAM ĐÀ NẴNG TUYỂN DỤNG
📌 VỊ TRÍ TUYỂN DỤNG:  Nhân viên bán hàng - Pha chế - Phục Vụ ( Partime - Fulltime)
📍 ĐỊA ĐIỂM LÀM VIỆC: 06 NẠI NAM, LOTTE MART ĐÀ NẴNG
🕒 THỜI GIAN LÀM VIỆC: Làm linh hoạt, đăng ký ca theo tuần. Và theo sự phân chia của quản lý.
💰 QUYỀN LỢI: 
- Môi trường làm việc năng động, chuyên nghiệp
- Làm vào các ngày lễ, tết sẽ được hưởng theo chế độ của Công ty
- Cơ hội đào tạo và thăng tiến rõ ràng nếu gắn bó lâu dài
- Mức lương hấp dẫn, sẽ được trao đổi khi phỏng vấn nha ^^
🔑 ĐIỀU KIỆN ỨNG TUYỂN:
- Không yêu cầu kinh nghiệm
- Tốt nghiệp THPT ( có bằng cấp 3)
- Siêng năng, yêu thích ngành FnB
💥CÁCH ỨNG TUYỂN: Điền thông tin vào form bên dưới. 
Nếu có bất kỳ thắc mắc nào, vui lòng nhắn tin trao đổi thêm.",RECRUITMENT,1,"Địa chỉ rõ ràng (Số nhà + Tên đường + Tên thương hiệu), công việc cụ thể, không yêu cầu inbox riêng, mức lương hợp lý","Mức lương hấp dẫn, sẽ được trao đổi khi phỏng vấn",Nhân viên bán hàng - Pha chế - Phục Vụ
"Quán chay Hoa Nghiêm cần tuyển nhân viên thời vụ  T2, T3, T4, T5 tuần sau 
- Ca làm: linh hoạt theo lịch học của các bạn
- Lương: 20 - 25k+ phụ cấp cơm ca
- Công việc: Phục vụ, chạy bàn, phụ bếp, dọn dẹp.
- Ưu tiên: Nữ, kv Ngũ Hành Sơn, là sinh viên năm 1,2. Có kinh nghiệm, nhanh nhẹn.
- Địa chỉ: 20 Bà Huyện Thanh Quan, gần chợ Bắc Mỹ An, đối diện Bách Hoá Xanh 
- Liên hệ zalo để trao đổi ca làm: 0903896877 ( c Anh )",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường + Tên chợ + Tên siêu thị), công việc rõ ràng, yêu cầu hợp lý, có thông tin liên hệ",20 - 25k+ phụ cấp cơm ca,Nhân viên thời vụ
"Tuyển gấp
- 3 nhân viên giao hàng xe máy 
*Công việc: Giao hàng quanh thành phố 
Thời gian làm việc:Sáng 7h30-12h00
Chiều 13h30-17h30.  Chiều chủ Nhật nghĩ. Xăng xe công ty.
Lương 7.5 triệu-9 triệu.
Đóng bảo hiểm xã hội theo quy định. Thưởng lễ và lương tháng 13. 
Yêu cầu: tuổi từ 18-30t, có bằng lái xe 
Làm việc ở : 07 Phạm Xuân Ẩn Hoà Xuân Cẩm lệ Đà Nẵng 
Liên hệ :0973.444.034",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường + Phường + Quận), mức lương hợp lý, có thông tin liên hệ rõ ràng",7.5 triệu - 9 triệu,Nhân viên giao hàng xe máy
"43 Coffee & Milk Tea 
🏦Địa chỉ: 315 Lê Văn Hiến
-Quán cần tuyển pha chế
           số lượng:3 bạn
-Thời gian: 
+ Ca 1: 6hkem15 tới 14h
+Ca 2:14h tới 22h
- Độ tuổi: Trên 18 tuổi
-Làm tốt có thưởng
-Lương 22kđến 27k
- yêu cầu có kinh nghiệm
- Lương nhận theo tuần hoặc theo tháng
-Lương ngày lễ x2, tết x3
  *Alo:0942872618",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường), công việc cụ thể, mức lương hợp lý",22k đến 27k,pha chế
"4/ Quán cẩn tuyển nhân viên tạp vụ (377/26 hải phòng)
SL: 1
Thời gian: 17h-23h
Lương: 4tr5/ tháng (tháng nghỉ 2 ngày có lương)
Độ tuổi: 30-50t
Lh: 0705956987
33 Phan Huy Chú",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường), công việc rõ ràng, mức lương hợp lý",4 triệu 5,Nhân viên tạp vụ
"Cần 1 tạp vụ rửa chén hôm nay tại đường Đoàn Khuê, phường Khuê Mỹ, NHS
Từ 12h đến 19h30
Lương 200k Ăn tối tại quán
Lh 0905522326",RECRUITMENT,1,"Địa chỉ cụ thể (Tên đường + Phường), công việc rõ ràng, mức lương hợp lý",200k,Tạp vụ rửa chén
"🚀 2S GROUP TUYỂN DỤNG – ĐÀ NẴNG 🚀
2S GROUP là doanh nghiệp hoạt động trong lĩnh vực thương mại điện tử, chuyên cung cấp các sản phẩm gia dụng chất lượng cao dưới thương hiệu chính: SAIZA.
Nhân viên Telesale & CSKH (Fulltime)
Cộng tác viên Telesale & CSKH (Part-time)
👉 Mô tả công việc:
Tiếp nhận data khách hàng ; Gọi điện giới thiệu và tư vấn sản phẩm
Quản lý, chăm sóc và duy trì mối quan hệ với khách hàng
Cập nhật thông tin khách hàng lên hệ thống quản lý của công ty
Chi tiết trao đổi cụ thể khi phỏng vấn
👉 Yêu cầu:
Không yêu cầu kinh nghiệm
Nếu có kinh nghiệm Telesale, CSKH là lợi thế;
Tự tin giao tiếp, chủ động trong công việc;
Có máy tính cá nhân
👉 Quyền lợi:
Lương thỏa thuận theo năng lực;
Thưởng lễ/tết, du lịch;
Tea break; Pantry hằng tuần.
---
- Địa chỉ: 4 Mỹ Đa Tây 9, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng
- Link ứng tuyển nhanh: https://forms.gle/kHB9jjVvbbAn7u8W7
- Gửi CV và Portfolio (nếu có): 2sgrouprecruitment@gmail.com
- Tiêu đề mail: [2S GROUP– Vị trí – HỌ TÊN]
- Liên hệ: 0965.205.322 (Ms. Lý – HCNS)",RECRUITMENT,1,"Địa chỉ rõ ràng (Số nhà + Tên đường + Quận), công việc cụ thể, có link ứng tuyển và email liên hệ",Lương thỏa thuận theo năng lực,"Nhân viên Telesale & CSKH (Fulltime), Cộng tác viên Telesale & CSKH (Part-time)"
"Quán Cơm Ngon địa chỉ 32 Châu Thị Vĩnh Tế cần tuyển gấp 3 nv nữ ca sáng.độ tuổi từ 18-35..
-Ca sáng thời gian từ 7h-14h30.công việc bao gồm: chuẩn bị đồ,phụ bán hàng và dọn dẹp. Lương khởi điểm chưa biết việc từ 4 triêu 500.biết việc từ 5_ 6 triệu(hoặc thương lượng)
Tháng nghỉ 1 ngày, ăn trưa tại quán.Quán ko tuyển thời vụ và sinh viên. 
Lh 0988352532 hoặc ưu tiên đến trực tiếp quán.
 CẢM ƠN BẠN ĐÃ ĐỌC TIN",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường), công việc rõ ràng, mức lương hợp lý, có thông tin liên hệ trực tiếp",4-6 triệu,Nhân viên phục vụ
"NARUTO RAMEN - TUYỂN DỤNG
Địa chỉ: 59 An Thượng 4, Ngũ Hành Sơn Để đáp ứng nhu cầu phục vụ, Naruto Ramen cần bổ sung ngay các vị trí sau:
NHÂN VIÊN PHỤC VỤ BÀN (Ca Tối)
• Số lượng: 03
• Giờ làm: 17:00 - 23:00
• Mức lương: 20,000 VNĐ/giờ
• Yêu cầu:
• Giao tiếp tiếng Anh cơ bản.
• Nhanh nhẹn, nhiệt tình.
QUYỀN LỢI:
• Môi trường làm việc năng động, chuyên nghiệp.
• Có cơ hội làm việc tại nhiều cơ sở trong hệ thống.
• Được đào tạo bài bản.
• Lương thưởng hấp dẫn, được trả đều đặn.
HÌNH THỨC ỨNG TUYỂN:
• NHẮN TIN QUA ZALO: (097 4289961) hoặc ĐẾN
TRỰC TIẾP QUÁN tại 59 An Thượng 4 để trao đổi.",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường), công việc rõ ràng, mức lương hợp lý","20,000 VNĐ/giờ",Nhân viên phục vụ bàn (Ca Tối)
"Công Ty ICT Tuyển Dụng 3 Tạp Vụ :
1.Địa chỉ: Trường Đại học,đường Nguyễn Gia Thiều , Điện Ngọc , Đà Nẵng 
     - Thời gian : 5h30-10h00& 12h30-16h, nghỉ CN
   2.Bệnh viện đường Nguyễn Gia Thiều, Điện Ngọc, Đà Nẵng
     - Thời gian:5h30-10h45& 13h-16h, nghỉ 1 ngày/ tuần 
👉Yêu cầu : chịu khó , chủ động trong cv , biết sd zalo.
👉 Mô tả cv : 
- Quét , lau sàn , cầu thang bộ , thang máy , nhà vệ sinh ….
- Lau cửa , lau kính . Thu gom rác và xử lý phát sinh.Làm theo phân công cv của giám sát, tổ trưởng 
👉 Chế độ : 
- Công việc ổn định , lâu dài 
- Môi trường làm việc thân thiện , được đào tạo quy trình chuyên nghiệp 
- Thưởng , lễ , tết , hỗ trợ BHYT . Cấp phát đồng phục , dụng cụ miễn phí . Có tổ chức công đoàn thăm ốm đau ….
 ✌✌Ai có nhu cầu liên hệ :0943812853( em Trang)",RECRUITMENT,1,"Có địa chỉ cụ thể (Tên đường + Tên khu vực + Tên thành phố), mô tả công việc rõ ràng, chế độ đãi ngộ hợp lý",Không rõ,Tạp vụ
"ẨM THỰC ĐÀ THÀNH Tuyển Dụng :
 ✅ Nhân Viên : ODER Nữ
     - tuổi 18 trở lên
     -  Số lượng: 2
     - Yêu cầu : Chiều cao trên 1m6.  khả năng giao tiếp, ngoại hình dễ thương , đã từng làm hàng, quán nhậu. ( chưa có kinh nghiệm sẽ được đào tạo )
    - Thời gian : 16h - 23h
    - Lương Cơ bản : 6.000.000đ ( tiền tip cao. Tự giữ )
✅ Nhân Viên Phục Vụ :Nam.  Nữ
    - Số Lượng : 5
    - Yêu cầu : Tác phong Nhanh nhẹn, thật thà, gọn gàng. Đã từng làm nhà hàng quán nhậu  ( chưa có kinh nghiệm sẽ được đào tạo )
    + Thời gian :
    - Full Time : 9h - 23h00 ( nghỉ trưa 2 tiếng )
    - Chế độ : Cơm trưa và Chiều ( 1 tháng dk off 1 ngày)
    - Lương cơ bản : 6.000.000đ ( tiền típ tự hưởng + thưởng Nv làm tốt trong tháng ) 
    - Part time : 15h - 23h00
    - Lương cơ bản : 3.500.000đ ( tiền típ tự giữ + thưởng Nv làm tốt trong tháng )
✅ Được làm việc trong môi trường chuyên nghiệp, hoà đồng, thân thiện. 
✅Có thể thăng tiến lên vị trí cao hơn nếu có khả năng làm tốt công việc.. 
________________________________
#ẩmthựcđàthành.
📍Đc:70-74 trần đại nghĩa, hoà hải ,ngũ hành sơn ,tp đà nẵng
☎️📞:0799344445(nhật)💥",RECRUITMENT,1,"Địa chỉ rõ ràng (Số nhà + Tên đường + Quận + TP), công việc cụ thể, mức lương hợp lý",6.000.000đ và 3.500.000đ,"Nhân viên ODER, Nhân viên Phục vụ"
"The Cups Coffee cần tuyển nhân viên phục vụ ca sáng 6h - 10h, thứ 2 đến thứ 6
Lương 20k/h 
Địa điểm: Đại học Fpt, Hoà Hải, Ngũ Hành Sơn",RECRUITMENT,1,"Địa chỉ cụ thể (Đại học Fpt, Hoà Hải, Ngũ Hành Sơn), công việc cụ thể, mức lương hợp lý",20k/h,Phục vụ
"Quán chay Phước Duyên cần tuyển nhân viên thời vụ thứ 5 (4/12), có thể làm lâu dài
- Ca làm: 6h - 14h, 14h - xong việc (tầm 21h30)
- Lương: 20k - 23k + phụ cấp cơm ca
- Công việc: Phục vụ, chạy bàn, phụ bếp, dọn dẹp.
- Địa chỉ: 202 Đỗ Bá, Ngũ Hành Sơn
- Liên hệ zalo để trao đổi ca làm: 0935199150 (c Mỹ)",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường), công việc rõ ràng, mức lương hợp lý",20k - 23k,"Nhân viên thời vụ, phục vụ, chạy bàn, phụ bếp, dọn dẹp"
"ĐẶC SẢN BÒ LỤI BÉ NA CẦN TUYỂN
1/ Nhân viên phục vụ: 2 nữ, 5 nam
trên 18 tuổi
Yêu cầu: nhiệt tình, trung thực, nhanh nhẹn.
Thời gian:  
Ca 1: 8h-14h
Ca 2: 14h-20h
Ca 3:17h-23h
Xoay ca linh động cho sv
Lương: 18k/h
Cs1: 377/26 hải phòng
Cs2: 33 Phan Huy Chú
Lh: 0705956987",RECRUITMENT,1,"Có địa chỉ cụ thể (Số nhà + Tên đường) cho cả 2 cơ sở, công việc rõ ràng, mức lương hợp lý",18k/h,Nhân viên phục vụ
"TIỆM BÁNH NHÀ KIM
(Chuyên bltm, bánh kem, bánh ngọt các loại…)
ĐC: k230 Trần Hưng Đạo, Điện Ngọc
Call: 0905 991 884",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường), tên thương hiệu rõ ràng (Tiệm Bánh Nhà Kim)",,
"Cần 1 bạn phụ nấu ăn và 2 bạn phục vụ cho quán cơm tại địa chỉ 32 Châu Thị Vĩnh Tế.Thời gian từ 7h_14h30,.Lương từ 20k-25k/1h.Thời gian từ 7h_15h30 Lương từ 25k-27k/1h .Tháng nghỉ 1 ngày,ăn trưa tại quán.Công việc cụ thể ib hoặc lh 0988 352 532 .Quán tuyển gấp nên bạn nào có thể đi làm ngay thì tới trực tiếp quán trao đổi và làm thử có lương thử việc nhé",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường), công việc cụ thể, mức lương hợp lý, có thông tin liên hệ rõ ràng",20k-27k/1h,"Phụ nấu ăn, phục vụ"
"SHOP Quần áo 
SA SI TUYỂN ( 77b/4 Trần Văn Dư Đà Nẵng)
Cần tuyển dụng
💕 2 nhân viên FULL khung time 
( từ 7:30-17:30) 
💕 3 NHÂN VIÊN (Part time) theo ca 5 tiếng. ( Lương 20k/1 hour)
Công việc: làm hàng, ủi hàng, chốt live, đóng đơn...
Lương thoả thuận riêng! Tăng theo năng lực, có đãi ngộ tốt!
Ưu Tiên: Quảng Nam, Đà Nẵng 
Yêu cầu:
- Siêng năng , chăm chỉ
- Có trách nhiệm với công việc
- Làm lâu dài
- Chỉ tuyển nữ
Ib hoặc Sdt liên hệ: 0901131299
❗️ Không phải đa cấp, liên hệ khi thực sự muốn nhận việc",RECRUITMENT,1,"Có địa chỉ cụ thể (77b/4 Trần Văn Dư Đà Nẵng), công việc rõ ràng, mức lương hợp lý, có yêu cầu cụ thể và liên hệ qua SĐT",20k/h,Nhân viên
"Cần tuyển người phụ quán ăn, biết rửa chén, nữ 20-55t , bao ăn ở , lương 7tr5 tien an 1tr8 0909863849. 68 Van tien dung Hoà Xuân, Đà Nẵng",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường), công việc rõ ràng, mức lương hợp lý",7 triệu 500 nghìn,Phụ quán ăn
"Bánh hủ vàng nhà Kim có cả dòng bánh mặn và ngọt luôn nhé ạ!
--------------------------------------------
TIỆM BÁNH NHÀ KIM
(Chuyên bltm, bánh kem, bánh ngọt các loại…)
 ĐC: k230 Trần Hưng Đạo, Điện Ngọc
 Call: 0905 991 884",RECRUITMENT,1,"Địa chỉ rõ ràng (Số nhà + Tên đường), tên thương hiệu rõ ràng (Nhà Kim), mô tả dịch vụ cụ thể",,
