text,is_recruitment,cat_reason,label,legit_reason,source_file,source
"Bên mình cần tuyển 3 NAM partime pha chế, order.
Ca tối : 17h-23h
Lương thưởng cao, môi trường sạch sẽ.",1,"Tin tuyển dụng nhân viên pha chế, order.",0,Thiếu địa chỉ cụ thể. 'Môi trường sạch sẽ' là từ khóa mồi chài.,content1_step2.csv,
"𝗪𝗲'𝗿𝗲 𝗵𝗶𝗿𝗶𝗻𝗴 𝗦𝗲𝗻𝗶𝗼𝗿 𝗙𝘂𝗹𝗹-𝘀𝘁𝗮𝗰𝗸 𝗗𝗲𝘃𝗲𝗹𝗼𝗽𝗲𝗿!
Let's join our team !!!",1,Văn bản chứa từ khóa 'hiring' và mô tả vị trí 'Senior Full-stack Developer',0,"Thiếu địa chỉ cụ thể, văn phong thiếu chuyên nghiệp",content4_step2.csv,
"[ TUYỂN NHÂN VIÊN BÁN HÀNG QUÀ TẶNG SINH NHẬT ]
KEKA GIFT- Đường 42 Nguyễn Trường Tộ
:moneybag: Lương: 17k/h
• Độ tuổi 18-22
:alarm_clock: Thời gian
- Sáng 9h00-13h00,
- Chiều 13h-17h
- Tối : 17h- 21h00
:star2: Ca làm việc linh động xoay 3 ca
:star2: Môi trường năng động, đồng nghiệp thân thiện và vui vẻ
:star2: Có Thưởng Doanh Số bán hàng
Liên hệ : 0774845044 (Ms. Huyền)",1,"Tin đăng tuyển nhân viên bán hàng với mô tả chi tiết về vị trí, lương, thời gian làm việc và điều kiện.",1,Tin tuyển dụng từ công ty KEKA GIFT với địa chỉ cụ thể. Mức lương phù hợp thị trường.,content3_step2.csv,
"#ĐàNẵng CẦN NGƯỜI PHỤ VIỆC
• Tuổi : 19 - 30
• Thời Gian : 8 - 17h ( tháng nghỉ 4 ngày )
• Thu nhập :  8tr00 :moneybag:
Môi trường sạch sẽ thoáng mát, được hỗ trợ cầm tay chỉ việc
Liên hệ Sđt/ Zalo : 0563461489 nhận việc",1,,0,,facebook.csv,facebook.com
"𝐒𝐊𝐘𝐘 𝐂𝐎𝐅𝐅𝐄𝐄 - 𝐊𝐈𝐃𝐒 𝐙𝐎𝐍𝐄
Tuyển dụng nhân sự
1. Barista – Nhân viên pha chế
:backhand_index_pointing_right_light_skin_tone: Ca làm việc:
7h00–12h00 | 12h00–17h00 | 17h00–22h00
:backhand_index_pointing_right_light_skin_tone: Lương:
20.000–22.000đ/giờ
Phụ cấp cơm 20.000đ cho ca 8 tiếng
2. Cashier – Nhân viên thu ngân
:backhand_index_pointing_right_light_skin_tone: Ca làm việc:
7h00–12h00 | 12h00–17h00 | 17h00–22h00
:backhand_index_pointing_right_light_skin_tone: Lương:
18.000–20.000đ/giờ
Phụ cấp cơm 20.000đ cho ca 8 tiếng
3. Server – Nhân viên phục vụ
:backhand_index_pointing_right_light_skin_tone: Ca làm việc:
7h00–12h00 | 12h00–17h00 | 17h00–22h00
:backhand_index_pointing_right_light_skin_tone: Lương:
17.000–22.000đ/giờ
Phụ cấp cơm 20.000đ cho ca 8 tiếng
Yêu cầu:
Từ 18 tuổi
Barista: có ít nhất 6 tháng kinh nghiệm, biết latte art cơ bản
Cashier: giao tiếp tiếng Anh cơ bản
Server: tác phong chuyên nghiệp, thân thiện
Tất cả: sẵn sàng làm Lễ/Tết, cuối tuần, gắn bó tối thiểu 6 tháng
Quyền lợi:
Môi trường làm việc năng động, hòa đồng
Xét tăng lương 3–6 tháng
Lương x2, x3 dịp Lễ/Tết
Đào tạo nâng cao kỹ năng
Hỗ trợ đồng phục
Ưu đãi đồ uống
Cơ hội thăng tiến
:round_pushpin: Địa chỉ: 363 Trần Hưng Đạo, Đà Nẵng
:email: Email: skyycoffeetea@gmail.com
:telephone_receiver: Hotline: 0707 986 107 (Tài)",1,"Tin đăng tuyển dụng nhân viên với các vị trí: Barista, Cashier, Server.  Có mô tả về ca làm việc, lương, yêu cầu và quyền lợi.",1,Tin tuyển dụng từ quán cafe SKY COFFEE - KIDS ZONE có địa chỉ cụ thể. Mức lương phù hợp thị trường.,content3_step2.csv,
"Nhân Viên Trưng Bày (VM - In Store) Nhãn Hàng Nike Hồ Chí Minh(MỚI)
PHÚC LỢI Chế độ bảo hiểm Du Lịch Phụ cấp Đồng phục Chế độ thưởng Đào tạo Tăng lương Phụ cấp thâm niên Nghỉ phép năm MÔ TẢ CÔNG VIỆC · Đảm nhận việc sắp xếp và trưng bày sản phẩm sao cho hiệu quả và đẹp mắt nhất · Sắp xếp lại hàng hóa theo những yêu cầu có sẵn của nhãn hàng, thương hiệu · Trưng bày các sản phẩm hàng hóa tại cửa hàng đúng theo layout, sắp xếp hàng hóa in floor, window, thay đổi tạo hình ma nơ căng tại cửa hàng. · Đảm bảo các khu vực, cách bày trí hàng hóa đảm bảo tiêu chuẩn được đưa xuống.. YÊU CẦU CÔNG VIỆC ·         Đọc được tiếng Anh căn bản để xem VM guidelines và products. Có style cá tính, thích và biết mix & match trang phục. ·         Cần ít nhất 1 năm kinh nghiệm làm việc trong lĩnh vực liên quan cho vị trí này. ·         Nhận biết các xu hướng và các hoạt động hiện tại trong thiết kế, thời trang. ·         Có kỹ năng giao tiếp tốt để trình bày ý tưởng cho người khác ·         Biết cách vận dụng không gian để sắp xếp và trưng bày hàng hóa 1 cách hiệu quả. ·         Biết tự tạo động lực cũng như thúc đẩy bản thân phát triển. THÔNG TIN KHÁC Bằng cấp: Trung học Độ tuổi: 19 - 30 Lương: 9 Tr - 12 Tr VND GỢI Ý HỒ SƠ Thiết kế CV Ứng Tuyển",1,,1,,data_viet.csv,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-trung-bay-vm-in-store-nhan-hang-nike-ho-chi-minh.35C60033.html
"Nezumi tìm đồng đội
1 phụ bếp 
1 tạp vụ
0979820440",1,Tin tìm người làm phụ bếp và tạp vụ,0,"Thiếu địa chỉ, xưng hô thiếu chuyên nghiệp",content1_step2.csv,
"CẦN TUYỂN 3 KETOAN NỘI BỘ, 3 NV SALE NAM NỮ LÀM LÂU DÀI LƯƠNG CAO CÓ ĐÀO TẠO. 
IB0932246559",1,"Văn bản chứa thông tin tuyển dụng rõ ràng: 'CẦN TUYỂN 3 KETOAN NỘI BỘ, 3 NV SALE NAM NỮ LÀM LÂU DÀI LƯƠNG CAO CÓ ĐÀO TẠO'",0,"Thiếu địa chỉ cụ thể, xưng hô 'IB' thiếu chuyên nghiệp",content1_step2.csv,
Em tha thiết cần tuyển nhân viên ở Lotte Mart ạ :sob::smiling_face_with_three_hearts:,1,Chứa từ khóa 'tuyển nhân viên' và mục đích tìm người làm việc.,0,"Văn phong thiếu chuyên nghiệp, không có địa chỉ cụ thể.",content1_step2.csv,
"GRGR] TÌM NV KHO ĐÔNG LẠNH (ITL ĐÀ NẴNG)  
—
Đóng gói thực phẩm
:moneybag: 250k/ca, lúa tuần
:moneybag:Chuyên cần: +70k
:alarm_clock: 2 ca:
Ca 06h00 - 15h00
Ca 07h00 - 16h00
:white_check_mark: Chịu được lạnh (8 - 15 độ C). (Đã có đồ bảo hộ)
:round_pushpin: Kho ITL, Lô X11 Đường 10B - KCN Hòa Khánh mở rộng, Hoà Liên, Hòa Vang, Đà Nẵng
LH: zalo 0899632790",1,"Tin đăng tuyển dụng nhân viên kho đông lạnh với mô tả công việc, mức lương và thông tin liên hệ.",1,"Tin tuyển dụng công ty/quán xá, có địa chỉ cụ thể.",content3_step2.csv,
":camera_flash: BẠN BÁN SỰ NHIỆT HUYẾT - PHOTOTIME ""MUA"" BẰNG CẢ TRÁI TIM!
Chúng mình không tìm người làm việc như một cái máy. Chúng mình tìm những nụ cười thật tươi để cùng PhotoTime mang lại hạnh phúc cho khách hàng. Nếu bạn muốn mỗi ngày đi làm là một ngày vui, thì đây chính là nơi dành cho bạn!
Gửi CV về zalo 0765370498 (chị Chinh) hoặc gửi qua mail với nội dung trong ảnh để ứng tuyển",1,Tin đăng tìm người với mục đích làm việc tại PhotoTime.,0,"Xưng hô thiếu chuyên nghiệp ('chị Chinh'), thiếu địa chỉ công ty rõ ràng.",content3_step2.csv,
":loudspeaker: TUYỂN NHÂN VIÊN NỮ PHỤC VỤ QUÁN ĂN VẶT
:alarm_clock: Ca làm việc:
 • Ca chiều: 14h – 19h30
 • Ca tối: 17h – 22h30
(Làm full tuần, nhưng được off hoặc đổi ca khi bận. Vui lòng đọc kỹ thông tin trước khi liên hệ!)
:round_pushpin: Địa điểm làm việc:
 • CS1: 234 Kỳ Đồng — Số lượng: 01
 • CS2: 433/3 Tôn Đức Thắng — Số lượng: 02
 • CS3: 31 Hà Huy Giáp — Số lượng: 01
:moneybag: Lương + thưởng: 2.500.000 – 3.000.000đ
:dart: Yêu cầu:
 • Làm việc tối thiểu 3 tháng trở lên
 • Ưu tiên sinh viên
 • Không yêu cầu kinh nghiệm
 • Siêng năng, vui vẻ, có trách nhiệm
:iphone: Liên hệ Zalo: 0703 48 88 84",1,"Tin đăng tuyển nhân viên phục vụ quán ăn vặt với yêu cầu cụ thể về ca làm việc, địa điểm, lương và kỹ năng.",1,"Tin tuyển dụng quán ăn vặt, có địa chỉ cụ thể các chi nhánh.",content3_step2.csv,
"[ VIỆC HOT ]
:pushpin:Bên mình cần 1-2 bạn hỗ trợ làm việc văn phòng tại khu vực CẨM LỆ- LIÊN CHIỂU
:pushpin:Thời gian:: 7h30 -11h
13h30 - 17h  ,17h30 - 20h30
( có hỗ trợ xoay ca cho sinh viên )
:pushpin:Thu nhập: tuỳ theo năng lực
:pushpin:Liên hệ SĐT/ Zalo: 0393714625
:pushpin:Yêu cầu: Ưu tiên cho những bạn sinh năm 2k5 trở lên, có thái độ tốt,tinh thần học hỏi.",1,,0,,facebook.csv,facebook.com
"CẦN 3 CHỊ TRUNG TUỔI LÀM TRƯỚC VÀ SAU TẾT TẠI #HẢICHÂU #THANHKHÊ #CẨMLỆ 
:gem:8H-17H(NGHỈ TRƯA 2H):gem:
:shamrock:8TRIỆU/THÁNG(+THƯỞNG):shamrock:
LIÊN HỆ SDT/ZALO: 0898.404.935",1,"Tin đăng tìm người làm việc với thông tin về vị trí, giờ giấc và mức lương.",0,"Thiếu địa chỉ cụ thể, xưng hô 'chị' thiếu chuyên nghiệp, phù hợp với mô hình tuyển sỉ/đa cấp.",content2_step2.csv,
"MACK CAFE - HOÀ KHÁNH
Nhân viên pha chế: 1 nhân viên nữ
Nhân viên phục vụ: 2 nhân viên nữ
+ Đối với pha chế:
* Đã có kinh nghiệm pha chế
* Nhanh nhẹn, siêng năng.
* LÀM ĐƯỢC LÂU DÀI
+ Đối với nhân viên phục vụ:
* Là sinh viên các trường ở khu vực Hoà Khánh hoặc nhà ở khu vực Hoà Khánh.
* Đã có kinh nghiệm phục vụ cà phê.
* Nhanh nhẹn, siêng năng
* Làm lâu dài( không nhận làm hè)
Liên hệ: MACK CAFE
44 Ninh Tốn( Gần chợ Hoà Khánh) Q.Liên Chiểu, TP Đà Nẵng
Điện thoại: 0915771408",1,,1,,facebook.csv,facebook.com
"NHÂN VIÊN R&D _ không yêu cầu kinh nghiệm
PHÚC LỢI Chế độ bảo hiểm Đồng phục Chế độ thưởng Đào tạo Tăng lương Nghỉ phép năm MÔ TẢ CÔNG VIỆC Quản lý, cập nhật, phát hành, thu hồi hệ thống bản vẽ, BOM các sản phẩm của công ty. Phát triển sản phẩm trong quá trình làm hàng mẫu. Phối hợp với các bộ phận sản xuất để thực hiện các dự án cải tiến, dự án tự động hóa trong công ty. Thực hiện các công việc có liên quan khác được giao bởi cấp trên. YÊU CẦU CÔNG VIỆC Tốt nghiệp Đại học chuyên ngành Cơ điện tử / Cơ khí / Kỹ thuật Ưu tiên biết sử dụng tốt các phần mềm thiết kế 2D/3D, Solidworks sheet metal Ưu tiên có kỹ năng cơ khí (hàn, nguội, lắp ráp,…) cơ bản. Kỹ năng giao tiếp tốt. Nhiệt tình, cẩn thận và có trách nhiệm Ưu tiên ứng viên có kinh nghiệm liên quan (chưa có kinh nghiệm sẽ được đào tạo). ĐỊA ĐIỂM LÀM VIỆC Bình Dương Lô CN2, KCN Mai Trung, An Tây, Bến Cát, Bình Dương THÔNG TIN KHÁC Bằng cấp: Đại học Giới tính: Nam Phụ cấp khác: Thưởng sản lượng hàng tháng Thời gian thử việc: 2 Tháng Cơ hội huấn luyện: Có nhiều cơ hội học tập và tham gia các khóa huấn luyện Độ tuổi: Không giới hạn tuổi Thời gian làm việc: 8:00-17:00 Phúc lợi: Có KTX miễn phí chi phí ăn ở dành cho cấp nhân viên trở lên Ngày nghỉ: Chủ nhật Lương: 10 Tr - 12 Tr VND GỢI Ý HỒ SƠ Thiết kế CV Ứng Tuyển",1,,1,,data_viet.csv,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-r-d-_-khong-yeu-cau-kinh-nghiem.35C58418.html
"✓ 0787781063Cần 02 Nữ trung tuổi ngồi phụ bán~khách vào thì bán đồ cho mẹ và bé ( bán trong mát ) ( 8h-17h ) xoay ca được cho mấy chị bận con cái
8tr/tháng dưới 45t nghĩ học
:telephone_receiver: Gọi liền sdt: 0787781063 để được nhận",1,,0,,facebook.csv,facebook.com
"4 bạn tìm việc tại nguyễn văn cừ, nguyễn sỹ sách , đường hemann h làm 6h chiều đến hết khách chủ nào quan tâm ib ạ.",1,Tin đăng tìm kiếm người làm việc tại các địa điểm cụ thể.,0,Thiếu địa chỉ cụ thể công ty/quán xá. Xưng hô 'chủ nào quan tâm ib' thiếu chuyên nghiệp.,content1_step2.csv,
"Giám Sát Kinh Doanh Kênh GT
PHÚC LỢI Chế độ bảo hiểm Du Lịch Phụ cấp Đồng phục Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Công tác phí Phụ cấp thâm niên Nghỉ phép năm MÔ TẢ CÔNG VIỆC Giám Sát Kinh Doanh Kênh GT thương hiệu thực phẩm ăn dặm cho bé ANPASO, Khu vực: Vũng Tàu, Đồng Nai, Bình Thuận, Ninh Thuận ● Phát triển khách hàng mới: Tìm kiếm và đánh giá các Nhà phân phối tiềm năng của công ty tại địa bàn phụ trách, đàm phán hợp đồng, điều khoản thương mại để hợp tác kinh doanh sản phẩm của công ty. ● Xây dựng & triển khai kế hoạch kinh doanh: Đảm bảo doanh số, độ phủ sản phẩm và các chỉ tiêu kinh doanh theo kế hoạch đã đề ra. ● Phát triển & duy trì quan hệ khách hàng: Chăm sóc, xây dựng các mối quan hệ tốt với các nhân sự chủ chốt của Khách hàng. ● Giám sát đội ngũ nhân viên: Quản lý, đào tạo và hỗ trợ đội ngũ nhân viên bán hàng tại Nhà phân phối, đảm bảo hoạt động hiệu quả. ● Phối hợp với các phòng ban: Làm việc cùng bộ phận Marketing, Trade Marketing để triển khai các chương trình thúc đẩy bán hàng. ● Báo cáo & phân tích thị trường: Tổng hợp số liệu bán hàng, phân tích thị trường, đề xuất giải pháp cải thiện hiệu suất kinh doanh. ● Các công việc khác theo sự phân công của cấp quản lý. YÊU CẦU CÔNG VIỆC • Giới tính: Nam, sinh sống và có quá trình làm việc trong lĩnh vực phân phối hàng hóa trên địa bàn phụ trách. • Kinh nghiệm: Tối thiểu 2 năm ở vị trí giám sát kinh doanh, ưu tiên có kinh nghiệm ngành hàng Mẹ & Bé hoặc Điện máy, Gia dụng. • Kỹ năng giao tiếp & đàm phán: Khả năng thương lượng, đàm phán, xây dựng mối quan hệ tốt với đối tác. • Phân tích & báo cáo số liệu: Thành thạo Excel, kỹ năng phân tích dữ liệu kinh doanh. • Tinh thần chủ động & trách nhiệm: Khả năng làm việc độc lập, chịu được áp lực công việc cao. • Khả năng di chuyển: Sẵn sàng đi công tác theo yêu cầu công việc. Quyền lợi: ● Thu nhập hấp dẫn: Lương cứng từ 12-17 triệu VNĐ/tháng, thưởng không giới hạn theo doanh thu thực đạt. ● Cơ hội thăng tiến: Cơ hội thăng tiến lên quản lý kinh doanh sau 1,2 năm. ● Được đào tạo & phát triển: Được thử sức làm nhiều việc mà trước đây chưa từng được làm; công việc mang tính chủ động cao. ● Môi trường làm việc: chuyên nghiệp, trẻ trung. ● Chế độ đãi ngộ đầy đủ: BHXH, phụ cấp, công tác phí, thưởng lễ, thưởng sản phẩm, thưởng nóng, thưởng tập thể... đặc biệt thưởng tết cuối năm không giới hạn (Theo kết quả hoàn thành). THÔNG TIN KHÁC Bằng cấp: Trung cấp Giới tính: Nam Độ tuổi: 27 - 40 Lương: 12 Tr - 30 Tr VND GỢI Ý HỒ SƠ Thiết kế CV Ứng Tuyển",1,,1,,data_viet.csv,https://careerviet.vn/vi/tim-viec-lam/giam-sat-kinh-doanh-kenh-gt.35C5C68B.html
